DATE,XTIMVA01GBM667S
1967-09-01,1517977815.0881
1967-10-01,1430189992.06833
1967-11-01,1543770554.4242399
1967-12-01,1478821018.05127
1968-01-01,1545866959.95036
1968-02-01,1567656289.18599
1968-03-01,1539586547.8242202
1968-04-01,1542606495.9849
1968-05-01,1616692477.81967
1968-06-01,1448102359.46053
1968-07-01,1607173434.23431
1968-08-01,1628756786.45649
1968-09-01,1537224717.90633
1968-10-01,1649391865.69844
1968-11-01,1585370688.81581
1968-12-01,1547162592.87497
1969-01-01,1616504793.59798
1969-02-01,1619629228.9951499
1969-03-01,1589146297.82774
1969-04-01,1658268937.42424
1969-05-01,1642272560.76932
1969-06-01,1643092943.6914802
1969-07-01,1683732699.57105
1969-08-01,1675650652.00451
1969-09-01,1609612722.52599
1969-10-01,1715803220.70397
1969-11-01,1673248078.16587
1969-12-01,1751567438.44039
1970-01-01,1777946529.8283901
1970-02-01,1822561295.4472198
1970-03-01,1755479867.88325
1970-04-01,1900249366.08237
1970-05-01,1863487429.28203
1970-06-01,1944725473.54603
1970-07-01,1510476809.3084998
1970-08-01,2013256436.9796898
1970-09-01,2040098303.07659
1970-10-01,1992530910.3824599
1970-11-01,1975244295.4346502
1970-12-01,1992031831.74617
1971-01-01,1896644243.40688
1971-02-01,1991980669.79751
1971-03-01,2104682871.35763
1971-04-01,2062635498.66437
1971-05-01,1935599531.37276
1971-06-01,2085672524.85012
1971-07-01,1985123012.90531
1971-08-01,1946614546.98845
1971-09-01,2125952560.2967
1971-10-01,2119982524.19901
1971-11-01,2114328044.5626
1971-12-01,2257914504.10355
1972-01-01,2210216624.92834
1972-02-01,2356127878.11123
1972-03-01,2426618140.1610203
1972-04-01,2316634774.7217603
1972-05-01,2332008147.62042
1972-06-01,2390328604.06433
1972-07-01,1953507381.49767
1972-08-01,1909872108.9066799
1972-09-01,2743557964.49524
1972-10-01,2593948390.1416698
1972-11-01,2600517237.26981
1972-12-01,2468403762.4716
1973-01-01,2815866140.13526
1973-02-01,2722258129.39003
1973-03-01,3043674921.9486
1973-04-01,2808158057.89074
1973-05-01,3291272378.21832
1973-06-01,3259712789.3256903
1973-07-01,3306256152.60097
1973-08-01,3585595704.78955
1973-09-01,3473902849.31282
1973-10-01,3698044588.73564
1973-11-01,3821533879.86031
1973-12-01,3609606266.9904
1974-01-01,3552599901.79347
1974-02-01,4239569416.1298294
1974-03-01,4476328452.45296
1974-04-01,4687569890.1522
1974-05-01,4814566972.52791
1974-06-01,4806970542.53448
1974-07-01,4911524373.97311
1974-08-01,4678478487.34614
1974-09-01,4639786350.60951
1974-10-01,4772187177.193351
1974-11-01,4747256150.83899
1974-12-01,4777660450.780641
1975-01-01,5022994088.09966
1975-02-01,4961678205.24303
1975-03-01,4263152838.94869
1975-04-01,4584149312.10482
1975-05-01,4274143462.4053
1975-06-01,4431644223.5167
1975-07-01,4647607429.79772
1975-08-01,4477336447.995299
1975-09-01,4261755722.9116898
1975-10-01,4529680412.07884
1975-11-01,4312648878.731529
1975-12-01,4463866227.20968
1976-01-01,4332365803.86597
1976-02-01,4559539895.883671
1976-03-01,4485774846.589721
1976-04-01,4696838713.2981
1976-05-01,4546180493.119459
1976-06-01,4813352856.527309
1976-07-01,4845512139.15573
1976-08-01,4683382427.93274
1976-09-01,4937834743.33506
1976-10-01,4712682743.21436
1976-11-01,5041579552.69603
1976-12-01,5069710894.53532
1977-01-01,5365725056.0741005
1977-02-01,5117727602.891911
1977-03-01,5273891094.662049
1977-04-01,5131330729.47012
1977-05-01,5574165881.189
1977-06-01,5509085842.17979
1977-07-01,5426721699.01307
1977-08-01,5194689196.413899
1977-09-01,5488183619.19839
1977-10-01,5360726011.87468
1977-11-01,5204517184.11615
1977-12-01,6008026279.386641
1978-01-01,6198803245.842871
1978-02-01,6025346311.09539
1978-03-01,6136747876.16646
1978-04-01,5761278081.74584
1978-05-01,6214818750.93758
1978-06-01,6503530157.1394
1978-07-01,6393956468.177051
1978-08-01,6385692006.81144
1978-09-01,6863406902.99659
1978-10-01,6802583609.30687
1978-11-01,7068538230.307759
1978-12-01,6668170458.50214
1979-01-01,6498689500.21374
1979-02-01,7141342912.0976305
1979-03-01,8002704782.56709
1979-04-01,8202492863.698261
1979-05-01,8212372673.13661
1979-06-01,8288578415.39933
1979-07-01,8852149963.7904
1979-08-01,8967107081.01614
1979-09-01,8647921860.27798
1979-10-01,9379564074.81484
1979-11-01,9140580039.28084
1979-12-01,9020091253.25721
1980-01-01,10209762889.5177
1980-02-01,10373426581.840899
1980-03-01,9188313868.04738
1980-04-01,9836628248.831991
1980-05-01,9388510031.23232
1980-06-01,9783353053.560379
1980-07-01,9664384189.96923
1980-08-01,9321534201.721941
1980-09-01,9144996949.320751
1980-10-01,9011028338.352129
1980-11-01,8854345884.87922
1980-12-01,9352480101.59947
1981-01-01,8751597835.64175
1981-02-01,8643893066.30636
1981-03-01,7931916844.1482
1981-04-01,7786856873.21236
1981-05-01,8006831777.25654
1981-06-01,8419092674.08896
1981-07-01,8308761628.75694
1981-08-01,8910248458.86816
1981-09-01,8571818225.249819
1981-10-01,8338358602.292679
1981-11-01,9528328456.285809
1981-12-01,9052864355.41627
1982-01-01,8833554564.190891
1982-02-01,8471664378.36804
1982-03-01,8606904992.497879
1982-04-01,8440461500.45639
1982-05-01,8681214154.509361
1982-06-01,8698311211.9441
1982-07-01,8204898554.226411
1982-08-01,7987187345.85536
1982-09-01,8424327037.764341
1982-10-01,7871909837.00017
1982-11-01,7759061183.53123
1982-12-01,7896069231.17232
1983-01-01,8320947771.32017
1983-02-01,8184738598.16944
1983-03-01,7914582446.04502
1983-04-01,7833389433.16308
1983-05-01,8685514848.81007
1983-06-01,8408126812.446691
1983-07-01,8298718508.237989
1983-08-01,8290438322.387621
1983-09-01,8373644121.26111
1983-10-01,8686914197.17334
1983-11-01,8401444464.308391
1983-12-01,8266962034.809649
1984-01-01,8461716119.680791
1984-02-01,8461081402.899631
1984-03-01,8953880048.66474
1984-04-01,9000221577.2088
1984-05-01,8963367605.30671
1984-06-01,8827687707.39169
1984-07-01,8037816719.93796
1984-08-01,9268201735.88112
1984-09-01,8686504779.33704
1984-10-01,8848686695.65798
1984-11-01,8612579242.91734
1984-12-01,8542108856.10728
1985-01-01,8236277424.826079
1985-02-01,8432709685.69907
1985-03-01,8822255365.17585
1985-04-01,9232368725.40107
1985-05-01,8682743924.578209
1985-06-01,8952533081.614601
1985-07-01,9550417784.428211
1985-08-01,9052160911.33293
1985-09-01,9097440262.414541
1985-10-01,9587889531.5211
1985-11-01,9881388565.929241
1985-12-01,9791411790.48353
1986-01-01,9584358740.610521
1986-02-01,10089940397.8888
1986-03-01,10073810042.064901
1986-04-01,10535992195.1133
1986-05-01,10369192373.355
1986-06-01,10428422231.1322
1986-07-01,10498158764.962101
1986-08-01,10610408247.263899
1986-09-01,10743923581.3031
1986-10-01,10586116891.177
1986-11-01,10967752429.8143
1986-12-01,11037411766.6325
1987-01-01,10859271563.6621
1987-02-01,11715348943.5033
1987-03-01,11760209967.0763
1987-04-01,12285809737.4273
1987-05-01,12569327197.5142
1987-06-01,12325705789.6103
1987-07-01,12668199920.9368
1987-08-01,13323861093.2811
1987-09-01,13199448387.4694
1987-10-01,13635468721.536499
1987-11-01,14809483553.2239
1987-12-01,15318932949.8031
1988-01-01,14387112410.7666
1988-02-01,14539798069.5429
1988-03-01,15289231220.5951
1988-04-01,15605534983.9557
1988-05-01,15993012142.5469
1988-06-01,15699208941.0867
1988-07-01,16117458037.187902
1988-08-01,15294275837.6633
1988-09-01,15048697078.859798
1988-10-01,17108278459.783201
1988-11-01,17142351866.399199
1988-12-01,16969753500.9633
1989-01-01,17311532949.7987
1989-02-01,17173667173.166098
