DATE,inflation,unemployment,interest,exports,imports,moneysupply,ppi
1992-07-01,4.5,9.9,9.05,17207079095.1264,19777507784.878,186977000000.0,2.87500043013628
1992-08-01,3.7,9.9,9.35,16544775645.5149,20635690498.4042,185128000000.0,2.7500000942348
1992-09-01,3.7,10.1,9.19,16591566680.616602,18842726908.906494,189828000000.0,2.62172259628156
1992-10-01,3.5,10.2,8.65,15406184851.1454,17661162399.2869,193791000000.0,2.86425946311379
1992-11-01,3.3,10.4,8.19,14658485211.2214,17170865053.5762,194178000000.0,2.98136599879153
1992-12-01,3.2,10.5,8.32,15079090524.4335,17371885987.63,192917000000.0,3.36239159632447
1993-01-01,3.0,10.7,8.29,14943056891.3791,16255387051.209698,192843000000.0,3.46964153309115
1993-02-01,3.1,10.6,7.95,14096455669.7673,16454717883.7607,195037000000.0,3.70370281413231
1993-03-01,3.2,10.6,7.72,14330842828.5755,16453344715.8308,194847000000.0,3.6764709125542
1993-04-01,2.6,10.5,7.89,14942639477.111,17421974291.1259,196469000000.0,4.02439035674332
1993-05-01,2.3,10.4,8.15,15154946910.1942,17656907806.5713,197116000000.0,4.01459867403313
1993-06-01,2.2,10.4,7.96,14834433104.9055,16933999352.3478,198775000000.0,4.00972065526603
1993-07-01,2.3,10.3,7.62,14666863616.562,17322772101.5031,200903000000.0,4.13122766413973
1993-08-01,2.6,10.2,7.07,14982554683.5153,16547044930.794102,203002000000.0,4.37956197469257
1993-09-01,2.7,10.3,6.96,15512417087.5099,17709803759.937,203635000000.0,4.37956197469257
1993-10-01,2.4,10.2,6.87,15430078793.4518,17531610010.439598,205659000000.0,3.99515751330424
1993-11-01,2.1,10.3,6.85,14842346402.6049,16852916564.081,207871000000.0,3.61881818970873
1993-12-01,2.3,10.3,6.4253,15239728912.5553,17187482684.2545,212723000000.0,4.09638598836964
1994-01-01,2.6,10.1,6.3794,15911418371.7065,18259283005.1507,215240000000.0,3.71257431315954
1994-02-01,2.4,9.9,6.7572,15743689251.1024,17744485714.866802,216672000000.0,3.21428624367147
1994-03-01,2.2,9.8,7.417,16123988319.6534,18530944089.6433,217304000000.0,2.60047288119494
1994-04-01,2.4,9.7,7.8401,16261470672.0273,17781289303.9243,216863000000.0,2.11019924980845
1994-05-01,2.4,9.7,8.2825,16360046073.1287,18747448842.6723,217181000000.0,2.22222250033035
1994-06-01,2.3,9.6,8.7105,17095243102.5778,19159894045.9658,216099000000.0,2.10280369583604
1994-07-01,2.1,9.5,8.533,17431720878.12,19346979816.6889,217684000000.0,2.10035000933814
1994-08-01,2.2,9.4,8.6524,17819438935.572903,18861209038.4004,219583000000.0,2.2144524959044
1994-09-01,1.9,9.3,8.8959,18232517711.6352,19374237927.184902,218819000000.0,2.33100292561962
1994-10-01,1.8,9.1,8.7797,18937469184.8457,20602054193.8425,219223000000.0,2.32828929444195
1994-11-01,2.1,9.0,8.6361,19105443645.4258,20506204612.0364,220017000000.0,2.56111765767757
1994-12-01,2.2,8.9,8.5814,18521252999.286,21346872587.1868,220131000000.0,2.54629636405662
1995-01-01,2.4,8.9,8.7349,19509962758.846497,20906661747.165,221302000000.0,3.57967729825615
1995-02-01,2.3,8.9,8.6557,19731713404.228306,20872934216.0859,224293000000.0,3.69088791937135
1995-03-01,2.4,8.8,8.5938,20290494610.774494,21002335717.615,231336000000.0,3.91704997597439
1995-04-01,2.3,8.8,8.4378,20153750497.7762,22802633762.424103,228837000000.0,4.0183692925226
1995-05-01,2.6,8.7,8.1802,20042257808.0726,22171446467.060898,230236000000.0,4.00457627064125
1995-06-01,2.7,8.7,8.1097,20342153917.1174,22631234868.2583,230157000000.0,4.11899305351161
1995-07-01,2.8,8.6,8.2613,20479712520.7042,22998933279.6804,234870000000.0,4.22857052903915
1995-08-01,2.7,8.6,8.1169,20205269419.3054,22326923761.2146,246464000000.0,4.21892839690784
1995-09-01,3.0,8.6,7.9486,21036376760.6608,23434661281.8251,248176000000.0,4.21412322639706
1995-10-01,3.0,8.6,8.0967,20746798378.824898,23436406304.687702,249324000000.0,4.20932788253066
1995-11-01,2.9,8.3,7.7752,21329538367.9676,22808799333.6176,249125000000.0,3.85925126864727
1995-12-01,3.1,8.4,7.4926,20924424125.8763,22810813488.276,252495000000.0,4.17607134503632
1996-01-01,2.9,8.3,7.4408,21130120744.4055,23052579673.091,254727000000.0,3.45596382259896
1996-02-01,3.0,8.2,7.7618,21170648665.7995,23380582723.1071,255218000000.0,3.00940014877933
1996-03-01,3.0,8.3,8.057,21531618089.440903,23445025323.4392,256831000000.0,2.88248356158452
1996-04-01,2.8,8.3,8.0602,21262037248.4675,23842991988.6342,260505000000.0,2.85772472571506
1996-05-01,2.8,8.3,8.0871,21293045067.409,23649419990.6573,258417000000.0,2.51826047657701
1996-06-01,2.8,8.2,8.054,21585217701.5521,24516087283.1034,265787000000.0,1.87112673923702
1996-07-01,2.7,8.1,7.9162,21647673793.015102,23985556399.3146,266185000000.0,1.22108250198721
1996-08-01,2.7,8.1,7.8219,21881384342.1266,23453679572.2407,264785000000.0,1.21244635101779
1996-09-01,2.7,8.1,7.8151,22389720707.9492,24436999451.423,273460000000.0,1.52707565514892
1996-10-01,3.0,8.0,7.5413,22932502200.004,24390474658.9824,271239000000.0,1.52243403136484
1996-11-01,3.1,7.8,7.5952,23765619885.6627,25589340624.3609,272553000000.0,1.42076458116446
1996-12-01,2.8,7.7,7.5716,23295348836.2652,25565924504.688,275100000000.0,0.225543304912098
1997-01-01,2.6,7.5,7.5552,24287182427.9294,25455049375.9548,279140000000.0,-0.209643605870013
1997-02-01,2.4,7.3,7.1962,23476209237.8274,25265002201.3983,281189000000.0,-0.525210084033622
1997-03-01,2.2,7.2,7.4544,22978535769.8298,25261188868.2159,283785000000.0,-1.04821802935009
1997-04-01,2.1,7.2,7.638,23404831176.5806,25763669515.5939,290590000000.0,-1.46137787056366
1997-05-01,2.1,7.2,7.1681,23329157037.747097,25481877723.0488,296155000000.0,-1.46137787056366
1997-06-01,2.1,7.3,7.1418,23611575861.3725,26380751745.8528,319089000000.0,-1.57397691500524
1997-07-01,2.4,7.1,7.0577,24113410277.8524,26482528214.8748,330821000000.0,-1.47523709167545
1997-08-01,2.3,6.8,7.0893,23108847016.1254,24698275332.1724,328063000000.0,-1.57728706624607
1997-09-01,2.2,6.7,6.8216,22966862693.6951,25050852436.9431,325341000000.0,-1.67539267015707
1997-10-01,2.2,6.6,6.5109,23382856431.9577,25793637633.3634,329894000000.0,-1.88284518828452
1997-11-01,2.1,6.5,6.624,24022940702.3533,27087484838.8718,332186000000.0,-1.78197064989517
1997-12-01,1.9,6.4,6.3739,24102969991.91,26908728325.7197,334249000000.0,-1.78759200841219
1998-01-01,1.8,6.4,6.0978,23095124079.8097,24793238007.5207,336502000000.0,-2.20588235294119
1998-02-01,1.8,6.4,6.0461,22861157660.087,26481503312.719097,339895000000.0,-2.11193241816261
1998-03-01,1.9,6.3,5.992,22907750068.5361,26340108967.4921,345837000000.0,-2.01271186440679
1998-04-01,2.1,6.3,5.8249,22671092900.912502,25640644653.7969,346578000000.0,-2.11864406779661
1998-05-01,2.2,6.3,5.8648,22305408646.1844,26252639745.073,350363000000.0,-2.11864406779661
1998-06-01,1.9,6.3,5.7743,22675560231.0424,26066064695.046,352879000000.0,-1.59914712153516
1998-07-01,1.7,6.3,5.8319,22129864319.071,25547387597.4563,351909000000.0,-1.39037433155081
1998-08-01,1.6,6.2,5.5706,21951478075.0297,25452257625.2368,351790000000.0,-1.6025641025641
1998-09-01,1.7,6.2,5.151,22448541965.567,26959894749.3951,354424000000.0,-2.23642172523962
1998-10-01,1.6,6.2,5.0114,22614470339.0564,26347442942.0284,359499000000.0,-2.23880597014924
1998-11-01,1.7,6.1,4.9292,22128427804.1865,26171793119.7577,365085000000.0,-2.34791889007472
1998-12-01,1.9,6.2,4.5175,21847490573.6106,26119898948.6066,362342000000.0,-2.46252676659531
1999-01-01,2.0,6.2,4.2868,21619877884.4334,26309700666.2756,365100000000.0,-2.25563909774435
1999-02-01,1.9,6.2,4.4319,21252909780.7799,25932157363.7568,367889000000.0,-1.61812297734629
1999-03-01,2.1,6.2,4.6554,21664158994.0662,25853311757.8519,368893000000.0,-1.29729729729729
1999-04-01,2.0,6.1,4.592,21035807095.9766,24854382474.9134,372359000000.0,-0.757575757575758
1999-05-01,1.7,6.0,4.9068,21551707750.8765,25152162399.2003,371352000000.0,-0.757575757575758
1999-06-01,1.8,6.0,5.1716,21411770936.9081,25446713651.5471,380841000000.0,-0.758396533044436
1999-07-01,1.7,5.9,5.3721,21810231117.5059,26010910122.9875,381772000000.0,-0.216919739696304
1999-08-01,1.6,5.9,5.4312,23105470965.3856,27570178943.627903,388281000000.0,0.108577633007611
1999-09-01,1.6,5.8,5.6909,23507888879.4844,27175612970.9504,386135000000.0,0.762527233115469
1999-10-01,1.5,5.8,5.8801,23776447012.6163,28135890188.2373,391477000000.0,0.98146128680479
1999-11-01,1.5,5.8,5.3145,23196371255.1125,27386325801.2177,397715000000.0,1.20218579234972
1999-12-01,1.5,5.9,5.389,22930867488.8581,27334240124.9803,399174000000.0,1.97585071350166
2000-01-01,1.2,5.8,5.8227,24051997850.3702,29135718046.7109,405678000000.0,2.1978021978022
2000-02-01,1.2,5.8,5.6347,23521116616.117203,27643658396.398903,409665000000.0,1.97368421052633
2000-03-01,1.0,5.7,5.3707,23733036439.3926,27278872382.4997,413317000000.0,1.97152245345015
2000-04-01,0.9,5.6,5.3213,23844293769.7607,29079034599.6818,421232000000.0,1.52671755725189
2000-05-01,1.0,5.5,5.4033,22826371351.718803,26540736108.3076,428501000000.0,1.52671755725189
2000-06-01,1.2,5.3,5.2097,23660863346.4051,27360409388.8328,431570000000.0,2.51091703056769
2000-07-01,1.2,5.3,5.2388,23112087369.5598,28975414250.2991,435567000000.0,2.28260869565216
2000-08-01,1.0,5.3,5.3312,23651780631.2677,27758526703.5288,440420000000.0,1.62689804772235
2000-09-01,1.3,5.4,5.3873,22733595439.368,27268757854.3732,441002000000.0,1.72972972972972
2000-10-01,1.4,5.3,5.2179,23160981629.322,27517090095.0055,448888000000.0,2.15982721382288
2000-11-01,1.5,5.2,5.0983,23201049144.7674,28020298956.1496,448479000000.0,2.26781857451404
2000-12-01,1.2,5.2,4.9118,23993021800.7449,29845612586.6842,459009000000.0,1.39935414424112
2001-01-01,1.2,5.2,4.8471,24601176535.5626,29403527470.2346,462113000000.0,0.215053763440852
2001-02-01,1.2,5.1,4.8248,24194196654.5509,29311502315.883,466139000000.0,-0.215053763440882
2001-03-01,1.3,5.0,4.703,23127285002.8471,28197110260.13,476722000000.0,0.0
2001-04-01,1.5,4.9,4.9468,22513537732.553898,28203409028.319603,479861000000.0,0.32223415682064
2001-05-01,1.9,5.0,5.1153,22315598586.6926,27175096829.7596,481336000000.0,0.859291084855006
2001-06-01,1.9,5.0,5.1951,22660507688.5608,27956543099.8767,483803000000.0,0.106496272630454
2001-07-01,1.7,5.1,5.2037,22108990399.7242,26485877354.6422,492309000000.0,-0.425079702444191
2001-08-01,2.1,5.1,4.9854,22550703987.4098,27511869046.804703,488856000000.0,-0.320170757737462
2001-09-01,1.7,5.1,4.9876,22951581645.351,27194796796.7196,499392000000.0,-0.74388947927735
2001-10-01,1.6,5.1,4.8253,22936789267.6146,26836265886.3261,501636000000.0,-1.69133192389004
2001-11-01,1.2,5.2,4.6271,21998880442.474403,26242143864.525803,505215000000.0,-2.63991552270327
2001-12-01,1.4,5.2,4.8928,21423855028.4326,26639254012.850403,505718000000.0,-2.44161358811041
2002-01-01,1.8,5.1,4.9171,22103739712.2203,25893373513.189102,501570000000.0,-1.28755364806866
2002-02-01,1.7,5.2,4.9251,22050847529.1909,26954615332.6141,504073000000.0,-0.646551724137921
2002-03-01,1.7,5.2,5.2202,22382135264.4556,27483984006.5716,503724000000.0,-0.644468313641236
2002-04-01,1.6,5.2,5.2331,22349450893.8555,27093009917.052498,506975000000.0,-0.321199143468968
2002-05-01,1.2,5.2,5.2689,24117104804.1273,27812573770.4986,512209000000.0,-0.638977635782752
2002-06-01,1.1,5.2,5.099,23599634755.2794,28347513243.7468,517735000000.0,-0.957446808510645
2002-07-01,1.4,5.2,5.0027,24648096707.8082,29758961113.4859,523420000000.0,-0.640341515474939
2002-08-01,1.3,5.3,4.746,23212319339.8618,29006628366.4316,525683000000.0,-0.428265524625266
2002-09-01,1.2,5.2,4.5006,24166897358.8285,29484480603.753098,532362000000.0,-0.21413276231264
2002-10-01,1.5,5.2,4.616,23402009651.750694,29438929706.4066,535709000000.0,0.430107526881718
2002-11-01,1.6,5.1,4.6378,23417213375.5473,29996620625.9613,538669000000.0,0.976138828633397
2002-12-01,1.7,5.0,4.5644,23628822288.7433,29280451317.0267,544684000000.0,1.4145810663765
2003-01-01,1.4,5.1,4.3899,25267441773.2953,30678382060.661503,544195000000.0,1.73913043478259
2003-02-01,1.6,5.2,4.2131,24349862681.7263,31123125628.724503,551962000000.0,2.06073752711496
2003-03-01,1.6,5.1,4.3243,24486524300.014,30562755970.68,553131000000.0,2.7027027027027
2003-04-01,1.5,5.0,4.4663,25853156282.7285,30274836529.007603,558215000000.0,1.39634801288939
2003-05-01,1.3,4.9,4.2197,24788159626.3293,31957296410.961098,563820000000.0,0.535905680600208
2003-06-01,1.2,5.1,4.1127,23909279266.0534,32025776908.2869,562612000000.0,0.537056928034366
2003-07-01,1.3,5.1,4.4078,25208226226.4861,31254388859.7237,565051000000.0,0.644468313641266
2003-08-01,1.4,5.0,4.604,25696469525.500694,31244097807.2136,571482000000.0,1.07526881720429
2003-09-01,1.3,5.0,4.7132,24816523770.9398,32417141260.388,577998000000.0,0.751072961373391
2003-10-01,1.3,4.9,4.9071,26114139438.4087,34012180101.3565,584314000000.0,0.428265524625251
2003-11-01,1.3,4.9,5.065,26056932443.7998,34255920745.595,590186000000.0,0.859291084855006
2003-12-01,1.3,4.8,4.896,27177835034.973503,35032650155.796295,595788000000.0,0.858369098712442
2004-01-01,1.5,4.8,4.7875,27392645409.6638,37392771960.0141,603750000000.0,0.534188034188043
2004-02-01,1.4,4.8,4.8056,28598577104.7934,36518660808.5911,607417000000.0,0.0
2004-03-01,1.2,4.8,4.7088,27764708762.7892,36038218496.2965,615645000000.0,-0.526315789473678
2004-04-01,1.1,4.8,4.957,27648199907.1011,37087365107.481606,629985000000.0,0.635593220338973
2004-05-01,1.4,4.8,5.1118,27508454341.3992,37361371372.7769,618130000000.0,2.13219616204691
2004-06-01,1.5,4.8,5.2,28392206094.1822,37486249925.6378,634272000000.0,2.56410256410257
2004-07-01,1.4,4.7,5.1083,28914874862.7662,38909523416.7179,640209000000.0,2.66808964781216
2004-08-01,1.4,4.7,5.0071,28544279192.1818,38777084623.2224,649748000000.0,2.76595744680851
2004-09-01,1.2,4.7,4.9109,28835766789.124,37952136539.4413,652314000000.0,3.40788072417465
2004-10-01,1.3,4.7,4.7683,29125076629.3238,40573523948.6957,659576000000.0,4.47761194029851
2004-11-01,1.5,4.7,4.6903,30466254450.234,40130937702.342,666583000000.0,4.47284345047923
2004-12-01,1.8,4.7,4.5316,32138415696.8464,41567457499.9356,670503000000.0,3.82978723404255
2005-01-01,1.7,4.8,4.5419,30643360607.0321,41245331576.2932,678348000000.0,3.40063761955367
2005-02-01,1.7,4.7,4.5884,30460309037.638,40583989663.2859,682842000000.0,3.82571732199789
2005-03-01,2.0,4.7,4.796,30928698072.2734,41148290458.7254,690980000000.0,4.23280423280423
2005-04-01,1.9,4.8,4.6218,31751136782.197,42593209960.4492,696011000000.0,4.8421052631579
2005-05-01,1.9,4.8,4.4173,31429478119.8536,40508098994.559296,703847000000.0,3.65344467640919
2005-06-01,2.0,4.7,4.2847,32435740719.6063,39911113212.7584,710545000000.0,3.85416666666668
2005-07-01,2.3,4.7,4.3011,31120352953.7512,39774962318.5164,718155000000.0,4.57380457380457
2005-08-01,2.4,4.7,4.3249,32393946128.298603,41666444838.244,723424000000.0,4.45134575569359
2005-09-01,2.5,4.9,4.2109,33689667062.9952,41975029149.4544,732869000000.0,4.84037075180226
2005-10-01,2.4,5.1,4.3482,33640182160.0845,41207042689.8367,735614000000.0,4.08163265306123
2005-11-01,2.2,5.1,4.3129,32907175533.6132,40722376550.711205,745296000000.0,3.36391437308868
2005-12-01,2.1,5.1,4.2186,34110044609.7706,42675878959.584206,755809000000.0,3.48360655737706
2006-01-01,2.2,5.2,4.0752,35721807271.0941,44160780179.567406,753363000000.0,4.41932168550875
2006-02-01,2.2,5.2,4.1543,37675157292.9301,44730437715.052,765305000000.0,4.19651995905833
2006-03-01,2.0,5.3,4.3177,39782959126.9456,43699448101.2027,771422000000.0,3.65482233502536
2006-04-01,2.2,5.4,4.5177,41099729424.7246,45186810383.7087,785232000000.0,3.3132530120482
2006-05-01,2.4,5.5,4.6488,43023114771.6924,49223314999.0683,780093000000.0,4.43101711983888
2006-06-01,2.6,5.5,4.6645,41317230487.86511,47512265070.0787,783652000000.0,4.21263791374124
2006-07-01,2.5,5.5,4.656,33752178223.361595,46305552493.7054,791749000000.0,3.77733598409543
2006-08-01,2.6,5.5,4.6535,34758533632.3753,46763810159.889305,799045000000.0,3.66699702675916
2006-09-01,2.5,5.5,4.5522,34538511289.337204,47044725619.5976,800050000000.0,1.96463654223969
2006-10-01,2.5,5.4,4.6155,33548839172.0733,45623911259.7994,812533000000.0,0.882352941176477
2006-11-01,2.8,5.5,4.5452,34804405742.813,47243403365.0183,816973000000.0,1.38067061143984
2006-12-01,2.9,5.5,4.6195,35723110176.8976,49425426974.1776,836472000000.0,1.78217821782178
2007-01-01,2.7,5.5,4.8694,34721456030.8551,47425001342.2161,824902000000.0,1.27952755905512
2007-02-01,2.7,5.5,4.896,34545564066.0896,49211027675.3272,832508000000.0,1.37524557956778
2007-03-01,2.9,5.5,4.8194,34727393917.0176,49513127958.99149,840870000000.0,1.95886385896181
2007-04-01,2.7,5.4,5.0439,36108297303.34251,49567048480.798,847778000000.0,1.84645286686102
2007-05-01,2.5,5.4,5.1458,35514835632.38979,49011773814.804,864909000000.0,1.73577627772419
2007-06-01,2.5,5.3,5.4321,36541153378.392105,51779063095.9736,876526000000.0,2.11742059672761
2007-07-01,2.0,5.3,5.4084,36769667793.6607,52797083656.6342,887915000000.0,2.01149425287355
2007-08-01,2.0,5.3,5.1499,36836248428.126,52293755679.2014,899175000000.0,1.91204588910134
2007-09-01,2.0,5.2,4.9928,37385214551.5177,54388191227.5529,911531000000.0,3.27552986512525
2007-10-01,2.3,5.2,4.9576,38030155169.4824,53428274272.1644,917708000000.0,4.95626822157434
2007-11-01,2.2,5.2,4.7263,39785860424.3224,55669573759.142204,921195000000.0,6.51750972762646
2007-12-01,2.3,5.2,4.6937,38651466877.1905,53871117702.8787,919976000000.0,7.19844357976655
2008-01-01,2.4,5.2,4.4925,38980370061.4128,53575511270.8104,1011268000000.0,8.06608357628765
2008-02-01,2.6,5.2,4.6234,39537244095.0532,54193801472.2078,1010383000000.0,8.33333333333334
2008-03-01,2.6,5.3,4.445,40253520857.3865,55804492853.4495,1018270000000.0,9.02977905859751
2008-04-01,3.0,5.2,4.6432,40324339346.0695,56299214798.702896,1014311000000.0,9.73282442748092
2008-05-01,3.3,5.4,4.8683,41191490496.5246,56708844831.146,1002579000000.0,11.563981042654
2008-06-01,3.7,5.5,5.2103,42226353319.71111,59081014957.097404,1001318000000.0,12.818096135721
2008-07-01,4.2,5.7,5.0494,42576490789.1585,58439429412.538605,996563000000.0,13.4272300469484
2008-08-01,4.4,5.9,4.7267,39858746424.8689,55074199268.114296,984234000000.0,12.4765478424015
2008-09-01,4.8,6.0,4.5701,37437152351.6641,51068450225.9143,992808000000.0,11.8470149253731
2008-10-01,4.2,6.2,4.5789,34064471986.49,45970076611.8103,992486000000.0,8.98148148148147
2008-11-01,3.8,6.4,4.2571,29960769710.0408,42491902297.2472,1010171000000.0,5.3881278538813
2008-12-01,3.0,6.5,3.6238,28473567525.2732,38039244708.8392,1029803000000.0,3.08529945553537
2009-01-01,2.9,6.7,3.6699,27228672414.1762,37278570381.3009,1035553000000.0,1.477974113495
2009-02-01,3.1,7.1,3.6899,26938169178.9301,36673439420.8441,1035589000000.0,0.933369601257992
2009-03-01,2.8,7.3,3.2497,26007078210.5138,34989844241.3542,1030796000000.0,-0.689493318730514
2009-04-01,2.3,7.6,3.4072,27233294431.616302,37537564571.7248,1020840000000.0,-1.76557448245912
2009-05-01,2.1,7.8,3.6206,27884218600.629,37781551319.159904,1010119000000.0,-3.91191888178621
2009-06-01,1.7,7.9,3.7221,29521041569.822,39972261957.9632,1002252000000.0,-4.99074174522506
2009-07-01,1.6,7.9,3.8238,30193842372.4865,40616804230.869804,1005461000000.0,-6.06463752563376
2009-08-01,1.4,7.8,3.7142,30810762921.2538,41084194458.279495,1016043000000.0,-5.25437864887407
2009-09-01,1.0,7.9,3.6566,31123431028.7945,42388389026.6957,1044369000000.0,-5.04406650381052
2009-10-01,1.2,7.8,3.5699,31861742302.9836,43434686326.7815,1050746000000.0,-2.84070281580835
2009-11-01,1.5,7.8,3.7592,32705050181.3059,43739312938.719696,1056530000000.0,-0.248712676267665
2009-12-01,2.1,7.7,3.8871,32388628971.8585,43992932339.183495,1062965000000.0,1.55382907880135
2010-01-01,2.6,7.9,4.0025,32008223798.9844,44324475318.7145,1086665000000.0,2.34636871508379
2010-02-01,2.1,8.0,4.0624,32492436418.4376,43088669158.7914,1101756000000.0,2.45810055865922
2010-03-01,2.4,8.0,4.0915,31278948335.6014,42677075764.1214,1099119000000.0,3.91498881431766
2010-04-01,2.7,7.9,4.1007,32243359291.2904,43438045253.6431,1096620000000.0,4.9107142857143
2010-05-01,2.5,7.9,3.7772,31448524743.8263,43367008945.5908,1104117000000.0,5.01672240802676
2010-06-01,2.4,7.8,3.6007,32884551213.509804,44361534349.7631,1110854000000.0,4.21286031042129
2010-07-01,2.3,7.8,3.5087,33609990355.9166,46058789104.311005,1106646000000.0,4.44444444444445
2010-08-01,2.4,7.8,3.233,34355945871.005604,46925793290.90681,1098187000000.0,4.2175360710322
2010-09-01,2.4,7.9,3.1271,34491046361.7786,46203092577.0118,1082137000000.0,4.20819490586932
2010-10-01,2.5,7.9,3.0685,35435592592.056206,48202018437.7102,1094549000000.0,4.52039691289966
2010-11-01,2.6,7.9,3.311,36254457448.13,49480864005.4924,1077534000000.0,4.49069003285871
2010-12-01,3.1,7.9,3.6098,36048977563.4711,50762417877.2687,1079210000000.0,5.46448087431693
